name,price
ripple,"1662912203617,0.3553555484741445,1662915845973,0.35588577327384036,1662919358879,0.3577239631638063,1662922962376,0.355350099178151,1662926456827,0.3550961966335097,1662930143871,0.3579462255303547,1662933683560,0.3533875149499431,1662937430694,0.35426567045285673,1662940910560,0.3544691462842757,1662944507034,0.3520304310349204,1662948241008,0.3580031923564859,1662951637365,0.35205778087415607,1662955335153,0.34921475473133706,1662958958885,0.35161700122695894,1662962503266,0.35284653638686386,1662966117717,0.3532215097405929,1662969845017,0.35178990963539464,1662973352603,0.3568647173295134,1662976911097,0.35560664582770884,1662980499662,0.355659368876551,1662984106864,0.35481390214419567,1662987800123,0.35537734099871643,1662991424028,0.3557312065161329,1662995008123,0.3550469041648711,1662998624901,0.35389538282543903,1663002249132,0.35224304764485054,1663005649648,0.35379928127708815,1663009258229,0.3548333802631704,1663013105317,0.3569829254778583,1663016445751,0.35768713246016914,1663020080313,0.3573389940529783,1663023668982,0.3562773845654762,1663027245712,0.35859049426894085,1663031031143,0.35610914938565963,1663034486158,0.35482394809656415,1663038075672,0.35465103872840087,1663041656405,0.3528220912341685,1663045405511,0.35485336880993246,1663048867698,0.35546891073067094,1663052582273,0.35484009329584504,1663056145593,0.35729090581583983,1663059752699,0.3537495122871211,1663063427100,0.35397424015072737,1663067217534,0.35499891038547604,1663070622466,0.3564808940735523,1663074043460,0.3449576471520788,1663077642357,0.3416363115592014,1663081325104,0.3401785074201253,1663084832231,0.3395464056707805,1663088673705,0.33963179724796144,1663092164483,0.3410551221112363,1663095851424,0.3344831835773977,1663099465067,0.33709458500478,1663103013434,0.3384286854108786,1663106641195,0.3350245228786439,1663110035611,0.33325077993767327,1663113768873,0.33316784143391504,1663117353824,0.33435006256192107,1663120931534,0.33367792415272785,1663124517152,0.3350050330620289,1663128326808,0.33571926870559243,1663131679611,0.33676434798403204,1663135322766,0.3379789723385873,1663138832453,0.3364649004569757,1663142640500,0.3360148100508058,1663146019534,0.3370127499420662,1663149632252,0.33781370221047274,1663153353274,0.33654166867887064,1663157059970,0.33621949881865293,1663160421816,0.33662512656502325,1663164164532,0.3374869633986356,1663167878167,0.3374748053106317,1663169931000,0.3376609006750215"
cardano,"1662912151096,0.5116111466881658,1662915842980,0.514436888921471,1662919352279,0.5139340632932421,1662922886235,0.5119534298679544,1662926644938,0.5119847673020738,1662930171509,0.5081497922494518,1662933788522,0.5062963421363402,1662937341862,0.5061857913645124,1662940981276,0.5109545497612824,1662944550240,0.5028997716546219,1662948191720,0.5155627112526292,1662951811389,0.5081602363660694,1662955330545,0.5019149531082069,1662958996223,0.5044276148085676,1662962630412,0.5059398763451008,1662966078516,0.5062808698712247,1662969815979,0.5091706664425083,1662973373864,0.5121514879610444,1662976966145,0.5150246258751935,1662980490063,0.5144368363265607,1662984272490,0.5151061850270034,1662987712010,0.515273158307574,1662991401270,0.5163277573960582,1662994858552,0.5145746758535623,1662998500804,0.506178446254777,1663002247843,0.5026491330075997,1663005797299,0.5068598402328113,1663009435976,0.5060601580137505,1663013103999,0.5068318002379224,1663016540964,0.5102418533144637,1663020118582,0.5076003043826113,1663023661201,0.5032710647213923,1663027426339,0.5007697016964249,1663031033913,0.4978981542652829,1663034602191,0.49616164702150356,1663038111095,0.4966334241570973,1663041647048,0.4976442435132222,1663045383491,0.4975220715769677,1663048960993,0.5003926972461405,1663052625204,0.5014871341371677,1663056254896,0.5030797141933924,1663059760902,0.5013002577514617,1663063461474,0.5018670623265946,1663067187445,0.5030388466542108,1663070646088,0.5043906717035278,1663074237385,0.4775242039330128,1663077852104,0.47224204221520744,1663081297945,0.4687158723259933,1663085009406,0.470309157543846,1663088443905,0.47310188545659615,1663092288752,0.47582521719662674,1663095801639,0.46605706785820666,1663099453262,0.4703617159173478,1663102962354,0.47254792037519927,1663106522289,0.4689600799282095,1663110115568,0.466974299432352,1663113704603,0.46450402726988593,1663117447779,0.46729354013907115,1663120925262,0.4689592318214622,1663124611311,0.4722209988136468,1663128325312,0.47303835776803954,1663131838383,0.4746685232783323,1663135418314,0.4749734533659167,1663138842201,0.47188627004866424,1663142608828,0.47259131466129845,1663146026258,0.4714877751811958,1663149758051,0.4733648291864975,1663153438036,0.4745120274566041,1663157077240,0.4736699590369101,1663160474196,0.4768443287656025,1663164025605,0.4840276235789359,1663167877833,0.484164872512311,1663170854000,0.48399767093562707"
maticNetwork,"1662912120250,0.8981248204180907,1662915793029,0.9014615738541462,1662919432170,0.9044310837296482,1662922937640,0.895392672526008,1662926614246,0.8951025966181837,1662930212188,0.8893350001809833,1662933654210,0.8830150054795092,1662937448624,0.8888178511106537,1662940962444,0.8922635835327208,1662944671078,0.8856362354200484,1662948087991,0.9100336510653823,1662951770738,0.8889998334794526,1662955389810,0.8770724814496954,1662958850536,0.8841106071309147,1662962514070,0.8845914174223528,1662966050660,0.8839118965832096,1662969789842,0.8872077419581734,1662973420876,0.8988834473864913,1662976923146,0.9005874426140104,1662980557424,0.9080508585063756,1662984140182,0.9038168529753536,1662987740182,0.9175131349007384,1662991214723,0.9248326417908056,1662994873260,0.9284703893817547,1662998610774,0.916172678701666,1663002215371,0.9128134438140126,1663005861729,0.9219292015108169,1663009429329,0.92828747482154,1663012842137,0.9344404773357929,1663016528617,0.9373404846594862,1663020180357,0.9302321545513043,1663023651332,0.9242889202923836,1663027260519,0.9288272528789389,1663030844526,0.92282394627491,1663034500469,0.9195079917575941,1663038226643,0.9312051224978062,1663041751724,0.9364751318588456,1663045358248,0.9359975004910308,1663048922222,0.9326696524980098,1663052595881,0.9242856718079997,1663056261038,0.9309287198199453,1663059640645,0.9254829555841321,1663063483615,0.9227662686538145,1663067146166,0.9308074134285669,1663070439361,0.9302001812934739,1663074083823,0.881505587189541,1663077632008,0.8600324931526618,1663081436489,0.8569750655273134,1663085030705,0.8536554007330742,1663088473613,0.8615535098273209,1663092279301,0.8730106040334378,1663095872513,0.8495424114850345,1663099361252,0.8566403971567362,1663102894370,0.8609366874326778,1663106429515,0.854782143798621,1663110128525,0.8494087150745162,1663113848990,0.846389274800879,1663117316165,0.8508034029445126,1663120908646,0.8547775450674184,1663124619593,0.8622832995658688,1663128054376,0.861709902813225,1663131761958,0.865740200108285,1663135372831,0.8643112422441486,1663139080415,0.8567747415186902,1663142583164,0.8557117513653055,1663146126318,0.8578031968428663,1663149815968,0.8599686879679129,1663153439907,0.858790473706215,1663157070516,0.851174270819682,1663160493653,0.8559398934292999,1663164129729,0.8522959035624856,1663167841343,0.8541019302851632,1663169887000,0.8526086337606952"
